iter	PRAUC	Logloss
0	0.9994481784	0.5330060695
1	0.9996907534	0.3980055837
2	0.9998924491	0.2891139226
3	0.9999948612	0.1992332737
4	0.9999943589	0.1404910084
5	0.9999933691	0.09909422744
6	0.9999947251	0.0683358064
7	0.9999946816	0.04897402559
8	0.9999947289	0.03467289003
9	0.9999947368	0.02515853168
10	0.9999947839	0.01913327051
11	0.9999947383	0.01432198068
12	0.999994799	0.01085465153
13	0.9999946559	0.008277200021
14	0.9999945323	0.006406765481
15	0.9999944055	0.005034946664
16	0.9999943398	0.004044528121
17	0.999994195	0.00329790737
18	0.9999940859	0.002726150217
19	0.9999940504	0.002407082998
20	0.9999941461	0.002074712263
21	0.9999941623	0.00179274267
22	0.9999941291	0.001576387501
23	0.9999940737	0.00138677526
24	0.9999939973	0.001251065731
25	0.9999939559	0.001125141121
26	0.9999939479	0.001045560603
27	0.9999939382	0.0009786662931
28	0.9999939084	0.0009028525363
29	0.9999939286	0.0008394828036
30	0.9999940026	0.0007919372162
31	0.9999939857	0.0007469495003
32	0.9999939738	0.0007124033204
33	0.9999939665	0.0006889505837
34	0.9999940362	0.0006660434744
35	0.9999940828	0.0006417591165
36	0.9999943174	0.0006154544386
37	0.9999943398	0.0006008582837
38	0.9999943759	0.000589450498
39	0.9999944017	0.000574326717
40	0.9999945263	0.0005631709491
41	0.999994545	0.0005530091621
42	0.999994544	0.0005482562455
43	0.9999946264	0.0005391665626
44	0.9999946264	0.0005391665626
45	0.9999946466	0.0005352964494
46	0.9999946549	0.0005289621111
47	0.9999946655	0.0005232990664
48	0.9999946655	0.0005194322071
49	0.9999946682	0.0005178678198
50	0.999994669	0.0005164291674
51	0.9999946894	0.0005120982584
52	0.9999946891	0.0005108348253
53	0.9999946903	0.0005080169383
54	0.9999947012	0.0005050220937
55	0.9999947068	0.0005039285969
56	0.9999947068	0.0005039285969
57	0.9999947068	0.0005039285969
58	0.9999947068	0.0005039285969
59	0.9999947068	0.0005039285969
60	0.9999947068	0.0005039285969
61	0.9999947068	0.0005039285969
62	0.9999947068	0.0005039285969
63	0.9999947068	0.0005039285969
64	0.9999947068	0.0005039285969
65	0.9999947068	0.0005039285969
